clientID,birthDate,districtID,age,firstName,lastName,phone,email
C00000001,12/13/1990,18,29,Emma,Smith,367-171-6840,emma.smith@gmail.com
C00000002,2/4/1965,1,54,Noah,Thompson,212-423-7734,noah.thompson@gmail.com
C00000003,10/9/1960,1,59,Olivia,Johnson,212-425-6932,olivia.johnson@outlook.com
C00000004,12/1/1976,5,43,Liam,White,951-567-8925,liam.white@gmail.com
C00000005,7/3/1980,5,39,Sophia,Williams,428-265-1568,sophia.williams@gmail.com
C00000006,9/22/1939,12,80,Mason,Lopez,813-629-5038,mason.lopez7@gmail.com
C00000007,1/25/1949,15,71,Jacob,Lee,836-845-8120,jacob.lee7@gmail.com
C00000008,2/21/1958,51,61,Ava,Brown,413-444-9280,ava.brown8@gmail.com
C00000009,10/16/1955,60,64,William,Gonzalez,781-995-6192,william.marek.gonzalez@gmail.com
C00000010,5/1/1963,57,56,Ethan,Harris,508-902-5510,ethan.harris9@gmail.com
C00000011,8/22/1970,57,49,Isabella,Jones,508-688-6461,isabella.jones@hotmail.com
C00000012,2/20/2001,40,18,James,Clark,431-869-3807,james.clark9@gmail.com
C00000013,5/29/1994,54,25,Mia,Miller,840-168-6970,mia.miller@gmail.com
C00000014,6/22/1962,76,57,Abigail,Davis,914-018-0811,abigail.davis5@gmail.com
C00000015,8/28/1938,21,81,Emily,Garcia,556-415-7930,emily.garcia43@outlook.com
C00000016,2/25/1939,21,80,Alexander,Lewis,760-882-7015,alexander.lewis3@gmail.com
C00000017,10/13/1954,76,65,Michael,Robinson,914-238-1020,michael.robinson2@gmail.com
C00000018,4/5/1951,76,68,Charlotte,Rodriguez,914-823-6406,charlotte.rodriguez2@gmail.com
C00000019,12/28/1962,47,57,Benjamin,Walker,927-296-6436,benjamin.walker@gmail.com
C00000020,1/4/1999,46,21,Elijah,Perez,886-176-3524,elijah.perez@gmail.com
C00000021,10/29/1972,12,47,Harper,Wilson,894-384-1832,harper.wilson@outlook.com
C00000022,10/11/1989,1,30,Madison,Martinez,212-093-8170,madison.martinez@gmail.com
C00000023,5/29/1993,1,26,Daniel,Hall,212-803-8384,daniel.hall67@gmail.com
C00000024,7/29/1959,43,60,Amelia,Anderson,302-681-4855,amelia.anderson8@gmail.com
C00000025,4/23/1959,21,60,Elizabeth,Taylor,184-276-9486,elizabeth.taylor@gmail.com
C00000026,4/20/1989,74,30,Sofia,Thomas,660-390-7055,sofia.thomas@gmail.com
C00000027,3/26/1986,54,33,Evelyn,Hernandez,407-745-6584,evelyn.mari.hernandez8@gmail.com
C00000028,9/29/1965,1,54,Aiden,Young,212-751-6276,aiden.young9@gmail.com
C00000029,9/11/1971,30,48,Avery,Moore,996-691-7268,avery.moore@hotmail.com
C00000030,10/9/1977,74,42,Chloe,Martin,255-965-5392,chloe.martin8765@gmail.com
C00000031,2/9/1982,68,37,Logan,Allen,452-935-2140,logan.allen4@gmail.com
C00000032,7/28/2000,52,19,Matthew,Sanchez,214-728-5200,matthew.sanchez3@gmail.com
C00000033,12/4/1968,73,51,Ella,Jackson,769-780-3102,ella.jackson4@outlook.com
C00000036,7/17/1998,7,21,Grace,Thompson,530-856-5348,grace.thompson56@gmail.com
C00000037,8/10/1990,7,29,Lucas,Wright,854-055-8899,lucas.wright5@gmail.com
C00000038,7/23/1993,36,26,Victoria,White,976-965-9681,victoria.white43@gmail.com
C00000039,1/25/1988,68,32,Jackson,King,918-846-9875,jackson.king@gmail.com
C00000040,1/22/1977,5,43,Aubrey,Lopez,776-464-1839,aubrey.lopez@gmail.com
C00000041,8/27/1988,22,31,David,Scott,232-353-1692,david.scott@outlook.com
C00000042,8/17/1955,68,64,Oliver,Green,334-407-0626,oliver.green@gmail.com
C00000043,10/28/1940,75,79,Jayden,Baker,585-209-6726,jayden.baker4@gmail.com
